상호,영업표지,업종,전체,가맹점,직영점
(주)올림엔터프라이즈,마선생얼큰국밥,한식,1,1,0
(주)꼬꼬에프앤비,맛닭을 품은 후닭,치킨,0,0,0
(주)꼬꼬에프앤비,맛닭을 품은 찜닭,한식,0,0,0
(주)꼬꼬에프앤비,맛닭 짚불 닭갈비,한식,0,0,0
(주)꼬꼬에프앤비,맛닭꼬,치킨,125,125,0
(주)아리랑에프앤비,봉천동 진순자 김밥,분식,9,8,1
(주)아리랑에프앤비,아리랑수제핫도그,제과제빵,17,15,2
(주)케이푸드스토리,승도리네 곱도리탕,한식,26,22,4
(주)올림엔터프라이즈,싹쓰리냉면,한식,8,8,0
(주)올림엔터프라이즈,마선생마약국밥,한식,71,71,0
(주)엘엔제이,아가젤라또(a.ga gelato),아이스크림/빙수,0,0,0
바름,돼지생갈비상회,한식,5,4,1
지티(GT)커피,지티(GT)커피,커피,1,0,1
(주)신양도,심재,커피,2,0,2
(주)맘스터치앤컴퍼니,붐바타,기타 외식,5,5,0
동동꽈배기,동동꽈배기,분식,1,0,1
(주)하나에프씨,지즐 한우오마카세,한식,,,
30초커피,30초커피,음료 (커피 외),4,3,1
한양닭갈비,한양닭갈비,한식,1,0,1
수라전통육개장,수라전통육개장,한식,4,3,1
불당시장,불당시장,일식,0,0,0
마라루,마라루,중식,22,22,0
휴게소,휴게소,커피,0,0,0
먹성집,먹성집,한식,1,0,1
여수육개장,여육장,한식,1,0,1
더나은푸드,정광석항아리보쌈,한식,10,10,0
다원푸드,설화참숯닭갈비,기타 외식,5,5,0
(주)케이지컴퍼니,거송갈비찜,한식,9,9,0
(주)크레이저커피그룹,크레이저커피(C.Razer Coffee),커피,32,29,3
(주)엉터리,국가대패,한식,24,24,0
인터베이스,베라오커피,커피,0,0,0
인터베이스,타코맨,기타 외국식,0,0,0
상돈이비빔돼지,상돈이 비빔돼지,기타 외식,1,0,1
돈파스타,오므상칼칼데스,서양식,0,0,0
(주)명가,통뼈감자탕,한식,74,74,0
장수루양꼬치,장수루양꼬치,중식,1,0,1
엠지엠컴퍼니,황돈,한식,,,
떡보라,떡보라,분식,1,0,1
돈까츠야복돈,돈까츠야 복돈,일식,1,0,1
마샹스,엠마샹스,서양식,,,
영칼로리포케본점,영칼로리포케,기타 외식,1,0,1
BG푸드시스템,방구족발,한식,6,5,1
동행푸드,분식쌀롱,분식,32,32,0
권가제면소유통,권가제면소,일식,5,4,1
밸라다부산본점,밸라다(BELLADA),커피,14,13,1
(주)위,위찜,기타 외식,16,16,0
(주)짹슨이네회사,짹슨커피,커피,1,0,1
(주)맛의시간,시간을달리는족발,한식,,,
(주)맛의시간,도론도론,한식,0,0,0
(주)맛의시간,꽜시다,한식,0,0,0
(주)보하라,남다른감자탕(男다른감子탕),한식,62,62,0
(주)우성에프앤에스,죤슨앤바오,기타 외식,5,5,0
엘에프엘(주),타코잉,패스트푸드,5,5,0
(주)한국인,닭광정,치킨,5,5,0
(주)한국인,이천가든,한식,2,2,0
(주)마이켐,땡스얼랏,음료 (커피 외),1,0,1
(주)영영키친,맵지닭발,기타 외식,0,0,0
(주)영영키친,마귀맥주,주점,0,0,0
(주)영영키친,더불로닭,기타 외식,0,0,0
(주)더몰트하우스컴퍼니,더몰트하우스,서양식,6,5,1
(주)은혜푸드,만복국수집,주점,83,83,0
오엔푸드,투사랑,주점,53,53,0
(주)왕순이,왕순이 주먹밥 김밥,분식,23,23,0
(주)족발굽다,족발굽다,기타 외식,2,1,1
(주)코리아에프앤비,조선육회,한식,,,
해물화짬뽕,목천 해물화짬뽕,중식,1,0,1
오십칠도씨(57℃),57도씨 트라토리아,서양식,1,0,1
칠분통닭,칠분통닭,치킨,2,0,2
1리터셀(SELL)&디저트와플,1리터셀(SELL)&디저트와플,커피,1,0,1
(주)유니쉐프딜리버리,담아내다,한식,46,46,0
구르메산장,구르메산장,한식,1,0,1
디벨로맥스,치즈당,제과제빵,0,0,0
서효원,정성으로 빚은 만두고을,한식,3,2,1
신묘한컴퍼니,신묘한곱도리식당,한식,1,0,1
해물상회,해물상회,한식,12,11,1
더라온누리(TheRaonnuri),수완초밥생각,일식,3,3,0
(주)대한육계전문유통,순살만공격,치킨,220,220,0
엔돌핀,삼초전 삼겹살 초벌전문점,한식,22,22,0
통큰오리착한삼겹,풍요갈비왕국,한식,0,0,0
툴스돈카츠,툴스돈카츠,기타 외식,41,41,0
전원숯불갈비,전원숯불,기타 외식,22,22,0
대성땡초불닭,화(火)대성땡초불닭,기타 외식,4,3,1
코레와카레,코레와카레,일식,3,2,1
비어팩토리,맥주공장,주점,5,5,0
캡틴신푸드시스템,신대장 떡볶이,분식,9,9,0
㈜제이엠푸드,박봉구가래떡볶이,분식,33,33,0
대관령푸드,대관령양푼이동태찌개,한식,16,16,0
(주)공간에프앤비,닭장맥주,주점,2,1,1
(주)엘케이글로벌,비바로마,서양식,1,0,1
금손프랜차이즈,큰바우국밥,한식,15,15,0
라온감자탕,라온가정식감자탕,한식,8,7,1
일오코리아,대한냉면,한식,16,16,0
게르츠코리아,매직트리(MAGIC TREE),주점,0,0,0
(주)웰니스레시피,YOGO FROZEN YOGURT,기타 외식,1,0,1
어판왕어업회사법인㈜,어사출또,기타 외식,70,70,0
어판왕어업회사법인(주),어사또,한식,18,18,0
(주)이앤에프앤씨,택이네 조개전골,한식,57,57,0
(주)델리치랩,25카츠,일식,13,12,1
(주)드렁킨푸드,드렁킨타이,기타 외국식,10,10,0
(주)하남에프앤비,하남돼지집,한식,162,161,1
어나더도넛,어나더도넛,제과제빵,1,0,1
(주)지오엔지,달밤엔맥주일보,주점,0,0,0
에스에이㈜,유박사곱창,한식,2,1,1
일행,일행,한식,1,0,1
밥심,따뜻한한끼밥심,한식,2,1,1
이자카야한잔삼성본점,혼미HONMI,일식,0,0,0
에이치엠솔루션,함박스테이크주는 함파킹,서양식,0,0,0
에이치엠솔루션,탕수신짬뽕,중식,0,0,0
푸드토피아,진짜배기국밥,한식,0,0,0
다온푸드,숯양두마리치킨,치킨,29,28,1
어보브(ABOVE),어보브(ABOVE),커피,4,3,1
(주)하마에프씨,화로상회,기타 외식,54,54,0
홍대웰빙푸드,시민족발보쌈,한식,9,8,1
(유)토암,배불뚝집,한식,4,4,0
(주)그남자네식품,가마꿉,치킨,22,22,0
(주)조선씨푸드,조선아구찜,한식,11,10,1
(주)호박프렌즈,한와담소반,한식,19,0,19
(주)호박프렌즈,오마이포,기타 외국식,7,1,6
(주)본에스디코리아,오부장치킨,치킨,32,32,0
잊힐리야,잊힐리야,주점,1,0,1
(주)피자스쿨,피자스쿨,피자,611,610,1
전주식당,국내산 갈치조림 전주식당 별미,한식,,,
푸드니버스(주),도우대디(Dough Daddy),서양식,1,0,1
카츠와이찌,카츠와이찌,일식,1,0,1
(주)이랜드이츠,리미니,서양식,22,2,20
(주)이랜드이츠,테루,일식,13,12,1
(주)이랜드이츠,반궁,한식,16,14,2
(주)백희,애드컵(ADD CUP),커피,0,0,0
"(주)투워즈텐(TowardsTenCo.,Ltd)",징관청훠궈,중식,1,0,1
맥가이버,맥가이버,주점,1,0,1
완판도,완판도,한식,1,0,1
왕족F&B,가야왕족,한식,,,
이라F&C,이리맥주,주점,3,1,2
(주)제스트원,우동야마이루식,일식,1,0,1
올제푸드컴퍼니,여기가돈까스명당,기타 외식,1,0,1
마라당,마라당,중식,15,14,1
(HM)식품,원플러스원 찌개&볶음,한식,17,17,0
대박통,대박통,한식,24,23,1
(HM)식품,냉면덕후,한식,16,16,0
(HM)식품,나주할매 곰탕&뼈해장국,한식,15,15,0
(HM)식품,1인 한식당,한식,20,20,0
(HM)식품,뼈대있는국밥,한식,16,16,0
곰챙이,곰챙이,한식,1,0,1
어니스트식스티,어니스트식스티(HONEST 6T),서양식,2,1,1
부강유통,꾸꾸숯불바베큐,치킨,0,0,0
86계성집,86계성집,한식,1,0,1
본가푸드,본가낙곱새,한식,0,0,0
평화로운집,평화로운집,주점,1,0,1
(주)비에프씨,범프리카인생치킨,치킨,45,45,0
(주)이랜드이츠,피자몰,피자,14,3,11
(주)이랜드이츠,스테이크어스,기타 외국식,18,13,5
(주)커먼룸,OSOA(오소아),커피,0,0,0
(주)엘케이푸드,구포축산물공판장,한식,0,0,0
(주)엘케이푸드,행복한빅마마삼겹,한식,4,4,0
(주)이랜드이츠,루고,커피,11,10,1
(주)꽃비,꽃비 flower rain,일식,1,0,1
토리고야패밀리(주),범천집목구이,한식,8,7,1
토리고야패밀리(주),동래별장,주점,1,1,0
토리고야패밀리(주),토리고야,주점,7,7,0
㈜에이치비에스,집생로커피,커피,3,3,0
(주)에이치비에스,뼈고집,한식,0,0,0
(주)에이치비에스,"루타6,400km",기타 외식,1,1,0
(주)에이치비에스,도쿄스테이크,기타 외식,7,7,0
(주)에이치비에스,화평동왕냉면,한식,14,14,0
(주)에이치비에스,국수나무,분식,212,212,0
(주)섬결,고고카페,커피,0,0,0
(주)이랜드이츠,애슐리투고,기타 외식,3,0,3
더푸드랩에프앤비(주),삼백돈돈가츠,일식,20,14,6
(주)오남매푸드,오남매 감자탕,한식,2,0,2
(주)쿠치나코리아,맛담,한식,0,0,0
(주)쿠치나코리아,퀸비,주점,0,0,0
(주)쿠치나코리아,양호실떡볶이,분식,30,30,0
(주)쿠치나코리아,피자쿠치나,피자,30,30,0
(주)쿠치나코리아,쿠시혼,일식,0,0,0
(주)포앤디코리아,풍덕천 두꺼비집,주점,25,25,0
(주)웨일시티,은신처,일식,5,4,1
(주)윤월드푸드코리아,다크써클브로스,기타 외국식,3,1,2
홍자씨샌드위치,홍자씨샌드위치,제과제빵,1,0,1
(주)바이포엠에프앤티(BY4MFNTCorp.),당신은지금떡볶이가땡긴다,분식,1,0,1
모모한우진갈비,모모한우진갈비,한식,1,0,1
끄트머리집,끄트머리집,한식,1,0,1
(주)태승에프앤씨,곱창클라쓰,한식,1,0,1
카페316,카페316,커피,1,0,1
그린포유,그린포유,기타 외국식,1,0,1
푸디큐,스참,분식,40,39,1
안녕푸드,"안녕, 닭",한식,9,8,1
핸섬로스팅하우스,핸섬로스팅하우스,커피,4,3,1
(주)쉐프마인드,우리동네찌개왕,한식,0,0,0
(주)쉐프마인드,아구의민족,한식,0,0,0
오이시라멘,오이시라멘,일식,4,3,1
아이커유통,아이커버거&치킨,치킨,4,4,0
어우리,심할머니안흥찐빵만두,분식,36,35,1
노메,스시&후라이,기타 외식,1,0,1
(주)쉐프마인드,파스타몽,서양식,1,1,0
(주)쉐프마인드,평화면옥,분식,1,1,0
(주)쉐프마인드,한끼맛있다,서양식,13,12,1
탑브릭스(TOPBRIX),탑브릭스 (TOP BRIX),음료 (커피 외),22,20,2
업텐브로피자체인본부,브로피자,피자,42,42,0
(주)낭만연구소,낭만쭈꾸미,한식,6,5,1
(유)제이에프씨,자연정가 양평해장국,한식,72,71,1
에그필(eggfill),에그필카페,커피,1,0,1
종국이두마리치킨체인본부,종국이두마리치킨,치킨,43,43,0
해닭,해닭,한식,4,3,1
스무치(SMOOCHIE),스무치,기타 외식,3,2,1
정연푸드,가리미김밥,기타 외식,8,8,0
안서동야곱집,안서동 야곱집,한식,5,4,1
따봉시래기,따봉시래기,한식,4,3,1
대감댁왕뼈해장국/뼈다방,대감댁 왕뼈해장국,한식,2,1,1
에스알푸드,오늘도찜닭&삼겹&파스타,한식,4,4,0
국민마늘치킨본부,국민마늘치킨,치킨,14,14,0
이을감자탕체인사업부,이을감자탕,한식,5,5,0
㈜조은컴퍼니,화려한카레,일식,,,
㈜조은컴퍼니,화려한식당,한식,,,
㈜조은컴퍼니,족발킹,한식,,,
㈜조은컴퍼니,월등한만두,한식,,,
㈜조은컴퍼니,월등한떡볶이,한식,,,
㈜조은컴퍼니,우아한 주모국밥,한식,5,5,0
(주)조은컴퍼니,불타는냉면& 직화불고기,한식,,,
㈜조은컴퍼니,모조리덮밥,한식,,,
㈜조은컴퍼니,만랩치킨,치킨,,,
㈜조은컴퍼니,UFO피자,피자,,,
(주)조은컴퍼니,1985전설의부대찌개,한식,,,
(주)보담,육풍,한식,22,19,3
배깡정&도조라멘덮밥,도조라멘&덮밥,한식,,,
배깡정&도조라멘덮밥,배깡정,분식,1,0,1
(주)구들,구들 마라탕,중식,1,0,1
한양파스타본점,한양파스타,기타 외국식,1,0,1
에스엔푸드딜리버리,진빼이 갈비 ＆ 냉면,한식,1,0,1
(주)라바게트,라바게트,커피,3,2,1
손커피연구소,샌드위치밀,기타 외식,,,
손커피연구소,손커피연구소,커피,13,11,2
비알코리아(주),던킨/던킨도너츠,제과제빵,707,633,74
비알코리아(주),배스킨라빈스,아이스크림/빙수,"1,720","1,653",67
(주)동해에프앤비,간성 동해반점,중식,5,4,1
(주)맛의시간,뉴 컷츠(NEW CUTS),서양식,0,0,0
팔당반점,팔당반점,중식,2,0,2
(주)아람푸드,여장군,한식,8,7,1
(주)동그란세상,위드치킨,치킨,20,20,0
(주)로띠번코리아,로띠번,제과제빵,89,88,1
(주)에이스에프엔비,대한고기만세,기타 외식,0,0,0
(주)붐파트너스,붐피자(BOOM PIZZA),피자,11,11,0
(주)뉴앵글,엠디시그니처,서양식,1,0,1
(주)포앤디코리아,하루비어,주점,21,21,0
(주)에스엠푸드,통돼지두루치기한돈돈돈,기타 외식,11,11,0
(주)우주에프앤디,우주라이크(WOULDULIKE),커피,115,114,1
(유)에스와이에스,피자의 생명은 치즈다,피자,7,7,0
(주)켈리,켈리토스트카페,패스트푸드,4,4,0
(주)애채,라스베이글,커피,10,9,1
(주)켄싱턴월드,프랑제리,제과제빵,15,7,8
(주)빅스타푸드,천수통닭,치킨,0,0,0
(주)빅스타푸드,빅스타피자(Bigstar Pizza),피자,154,154,0
(주)리더스코리아코퍼레이션,태성춘골뱅이신사,한식,14,14,0
(주)리더스코리아코퍼레이션,진지방,한식,16,16,0
설램,설램,기타 외식,1,0,1
(주)반미프엉코리아,반미프엉,기타 외국식,1,0,1
한입과일서수원,한입과일,기타 외식,10,8,2
(주)슬램코리아,피자힙(PIZZA HIP),피자,1,1,0
(주)덴스튜디오,수룹타코,기타 외국식,1,1,0
(주)덴스튜디오,깨닭,한식,1,1,0
(주)코스모월드,코스모한우국밥,한식,0,0,0
(주)코스모월드,코스모피자,피자,0,0,0
(주)코스모월드,코스모포차,주점,0,0,0
(주)코스모월드,코스모파스타,서양식,0,0,0
(주)코스모월드,코스모치킨,치킨,0,0,0
(주)코스모월드,코스모짬뽕,중식,0,0,0
(주)코스모월드,코스모쌀국수,기타 외국식,0,0,0
(주)코스모월드,카페코스모,커피,0,0,0
(주)보영,보영만두,분식,26,26,0
(주)남도에프앤씨,남도술상,기타 외식,32,32,0
(주)모두여는세상,정말로 맛있는 떡볶이,분식,,,
(주)청년부엌,경성밥상,한식,12,11,1
딜라이트푸드,"붕어네, 커피",커피,2,2,0
(주)퍼스타,홍호아,기타 외국식,7,4,3
(주)코이,코이라멘,기타 외식,29,29,0
(주)유성에프앤비,허갈닭강정,치킨,37,37,0
철뚝길에프씨,철뚝길,한식,1,1,0
㈜그린에그에프엔비,콩카페,커피,6,1,5
(주)설반에프앤씨,설반,한식,1,0,1
(주)씨씨프라이드,더 뭉티기,한식,2,0,2
차이나는중식당,차이나는중식당,중식,1,0,1
(주)위드런,해피타운(HAPPY TOWN),기타 외국식,0,0,0
(주)옥된장에프앤비,옥된장,한식,0,0,0
알찬해물,알찬해물,기타 외식,1,0,1
(주)진성패밀리,라이스 버거&치킨,치킨,,,
(주)정미작소,윤쉐프 정직한제빵소,제과제빵,2,1,1
정글비,정글비,커피,22,20,2
유부부본점,유부부,분식,11,10,1
경자국밥,경자국밥,한식,1,0,1
이온유통,치킨삼파전,치킨,20,20,0
돼지영농후계자,돼지영농후계자,한식,39,39,0
하오하오짬뽕전문점,왕양 하오하오,기타 외식,1,0,1
킹콩푸드,북성로 석쇠불고기 우동,한식,1,0,1
킹콩푸드,본가 동인동매운찜갈비,한식,0,0,0
킹콩푸드,킹콩덮밥&볶음밥,한식,1,0,1
우야지식품,우야지 숯불닭구이,치킨,0,0,0
우야지식품,우야지 분식[딜리버리],분식,0,0,0
우야지식품,우야지 맥주,주점,0,0,0
요기,요기인,분식,3,2,1
기린더매운갈비찜,Girin The 매운갈비찜,한식,1,0,1
까망종이밥동천점,까망종이밥,분식,2,2,0
(주)올림엔터프라이즈,마선생얼큰국밥,한식,1,1,0
(주)꼬꼬에프앤비,맛닭을 품은 후닭,치킨,0,0,0
(주)꼬꼬에프앤비,맛닭을 품은 찜닭,한식,0,0,0
(주)꼬꼬에프앤비,맛닭 짚불 닭갈비,한식,0,0,0
(주)꼬꼬에프앤비,맛닭꼬,치킨,125,125,0
(주)아리랑에프앤비,봉천동 진순자 김밥,분식,9,8,1
(주)아리랑에프앤비,아리랑수제핫도그,제과제빵,17,15,2
(주)케이푸드스토리,승도리네 곱도리탕,한식,26,22,4
(주)올림엔터프라이즈,싹쓰리냉면,한식,8,8,0
(주)올림엔터프라이즈,마선생마약국밥,한식,71,71,0
(주)엘엔제이,아가젤라또(a.ga gelato),아이스크림/빙수,0,0,0
바름,돼지생갈비상회,한식,5,4,1
지티(GT)커피,지티(GT)커피,커피,1,0,1
(주)신양도,심재,커피,2,0,2
(주)맘스터치앤컴퍼니,붐바타,기타 외식,5,5,0
동동꽈배기,동동꽈배기,분식,1,0,1
(주)하나에프씨,지즐 한우오마카세,한식,,,
30초커피,30초커피,음료 (커피 외),4,3,1
한양닭갈비,한양닭갈비,한식,1,0,1
수라전통육개장,수라전통육개장,한식,4,3,1
불당시장,불당시장,일식,0,0,0
마라루,마라루,중식,22,22,0
휴게소,휴게소,커피,0,0,0
먹성집,먹성집,한식,1,0,1
여수육개장,여육장,한식,1,0,1
더나은푸드,정광석항아리보쌈,한식,10,10,0
다원푸드,설화참숯닭갈비,기타 외식,5,5,0
(주)케이지컴퍼니,거송갈비찜,한식,9,9,0
(주)크레이저커피그룹,크레이저커피(C.Razer Coffee),커피,32,29,3
(주)엉터리,국가대패,한식,24,24,0
인터베이스,베라오커피,커피,0,0,0
인터베이스,타코맨,기타 외국식,0,0,0
상돈이비빔돼지,상돈이 비빔돼지,기타 외식,1,0,1
돈파스타,오므상칼칼데스,서양식,0,0,0
(주)명가,통뼈감자탕,한식,74,74,0
장수루양꼬치,장수루양꼬치,중식,1,0,1
엠지엠컴퍼니,황돈,한식,,,
떡보라,떡보라,분식,1,0,1
돈까츠야복돈,돈까츠야 복돈,일식,1,0,1
마샹스,엠마샹스,서양식,,,
영칼로리포케본점,영칼로리포케,기타 외식,1,0,1
BG푸드시스템,방구족발,한식,6,5,1
동행푸드,분식쌀롱,분식,32,32,0
권가제면소유통,권가제면소,일식,5,4,1
밸라다부산본점,밸라다(BELLADA),커피,14,13,1
(주)위,위찜,기타 외식,16,16,0
(주)짹슨이네회사,짹슨커피,커피,1,0,1
(주)맛의시간,시간을달리는족발,한식,,,
(주)맛의시간,도론도론,한식,0,0,0
(주)맛의시간,꽜시다,한식,0,0,0
(주)보하라,남다른감자탕(男다른감子탕),한식,62,62,0
(주)우성에프앤에스,죤슨앤바오,기타 외식,5,5,0
엘에프엘(주),타코잉,패스트푸드,5,5,0
(주)한국인,닭광정,치킨,5,5,0
(주)한국인,이천가든,한식,2,2,0
(주)마이켐,땡스얼랏,음료 (커피 외),1,0,1
(주)영영키친,맵지닭발,기타 외식,0,0,0
(주)영영키친,마귀맥주,주점,0,0,0
(주)영영키친,더불로닭,기타 외식,0,0,0
